controller,scenario,seed,shield_enabled,reward,whole_building_kwh,hvac_ventilation_kwh,electricity_cost,peak_power_kw,comfort_violation_percent,temperature_violation_percent,humidity_violation_percent,comfort_degree_hours,humidity_percent_hours,co2_violation_percent,co2_ppm_hours,co2_peak_ppm,switches,aggressive_transitions,shield_intervention_percent,shield_fallback_percent,critical_safety_violations,action_distribution
random_v2,meeting_surge_v2,905,False,-458.60487785639685,429.73738842534806,252.9628600326784,71.25082558809144,33.08987722772556,84.44444444444444,66.66666666666667,42.22222222222222,5.942468688015971,29.91963190388062,20.833333333333332,625.6190980999066,1328.7070405070513,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_electronics_load_v2,901,False,-508.2263767070678,466.62484869270713,253.2759517260884,78.71255274193135,35.89623183533586,80.0,66.66666666666667,35.55555555555556,8.991450994148106,22.42122296936503,13.541666666666666,288.09113616292586,1216.0464264683064,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_electronics_load_v2,902,False,-482.87508446847886,465.0391436422208,253.06184355338053,78.5357355261227,35.548563697297546,80.0,66.66666666666667,37.77777777777778,8.1082071349409,22.233188412211522,14.583333333333334,271.81308194592896,1178.8090251433907,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_electronics_load_v2,903,False,-565.6731082105792,464.26035429338026,253.47783003981448,78.33693396203812,35.24775814348943,84.44444444444444,66.66666666666667,40.0,11.356971205502035,22.0307489486966,14.583333333333334,282.70430738340315,1209.3977390077416,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_electronics_load_v2,904,False,-501.5905861237201,463.67670738800325,252.62408057015227,78.26190046285116,36.354691624481475,82.22222222222223,66.66666666666667,35.55555555555556,9.394563866381013,19.55543323810418,10.416666666666666,205.64792243650925,1163.3326215852715,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_electronics_load_v2,905,False,-484.4029027925124,467.541888425348,252.9628600326784,78.95894683809139,37.31162722772556,84.44444444444444,66.66666666666667,40.0,7.958928499569597,23.782689675312525,13.541666666666666,287.84385677517673,1190.7411554157302,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,cleaning_event_v2,901,False,-412.06490002730914,428.4100986927072,253.2759517260884,71.04273524193141,32.96469544876788,82.22222222222223,62.22222222222222,44.44444444444444,5.490538442514854,27.303772523515416,13.541666666666666,288.09113616292586,1216.0464264683064,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,cleaning_event_v2,902,False,-397.3652764496575,427.58814364222076,253.06184355338053,70.9860055261228,32.36918742250065,84.44444444444444,62.22222222222222,48.888888888888886,5.089581425393574,26.763855340576047,14.583333333333334,271.81308194592896,1178.8090251433907,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,cleaning_event_v2,903,False,-469.63063242139515,426.2186667933803,253.47783003981448,70.68551146203818,32.26740028676394,84.44444444444444,64.44444444444444,51.111111111111114,7.627093414810367,27.58530530558696,14.583333333333334,282.70430738340315,1209.3977390077416,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,cleaning_event_v2,904,False,-407.56810278628507,425.8893323880035,252.62408057015227,70.6575054628512,32.415691624481475,84.44444444444444,66.66666666666667,37.77777777777778,6.016946777453734,23.59737250569921,10.416666666666666,205.64792243650925,1163.3326215852715,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,cleaning_event_v2,905,False,-395.1127772687822,429.3661384253481,252.9628600326784,71.29642558809145,33.08987722772556,84.44444444444444,64.44444444444444,44.44444444444444,4.76406719269791,28.320970925424696,13.541666666666666,287.84385677517673,1190.7411554157302,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
rule_based_v2,normal_v2,901,False,-202.4355410675013,403.56473960786934,232.9305926412504,75.9696313247247,40.269138334784174,33.333333333333336,0.0,33.333333333333336,0.0,10.107204686958745,0.0,0.0,822.5729931285559,19,0,0.0,0.0,0,"[0.0, 0.5520833333333334, 0.23958333333333334, 0.20833333333333334]"
rule_based_v2,normal_v2,902,False,-197.2456121147243,393.50078507797355,223.47448498913323,73.1014366930579,39.67409363433357,42.22222222222222,0.0,42.22222222222222,0.0,10.05193473237706,0.0,0.0,825.4355203629132,19,0,0.0,0.0,0,"[0.0, 0.53125, 0.2916666666666667, 0.17708333333333334]"
rule_based_v2,normal_v2,903,False,-212.8667259170522,415.09500276711435,246.8541660135487,78.16544316471375,40.32342405847124,46.666666666666664,0.0,46.666666666666664,0.0,12.19951849128402,0.0,0.0,824.4901239941503,17,0,0.0,0.0,0,"[0.0, 0.53125, 0.23958333333333334, 0.22916666666666666]"
rule_based_v2,normal_v2,904,False,-185.55743982331097,391.8497658761558,223.08451405830485,72.7577978171283,39.5037711087033,33.333333333333336,0.0,33.333333333333336,0.0,6.179236303199389,0.0,0.0,822.2734660290527,17,0,0.0,0.0,0,"[0.0, 0.53125, 0.2916666666666667, 0.17708333333333334]"
rule_based_v2,normal_v2,905,False,-203.4021833992616,395.0786976343036,223.17541924163376,73.66624463157092,40.228741519635854,53.333333333333336,0.0,53.333333333333336,0.0,11.973163522719126,0.0,0.0,826.1602346209438,19,0,0.0,0.0,0,"[0.0, 0.53125, 0.2916666666666667, 0.17708333333333334]"
rule_based_v2,hot_day_v2,901,False,-619.6104430785675,544.1023191722753,374.758253409429,106.9647595117968,44.01990316826901,100.0,77.77777777777777,100.0,3.305081887351446,49.06656918496523,0.0,0.0,796.5400823278986,5,0,0.0,0.0,0,"[0.0, 0.5208333333333334, 0.020833333333333332, 0.4583333333333333]"
rule_based_v2,hot_day_v2,902,False,-486.2031849021744,537.5879830796177,368.950602211231,105.26482252971539,43.84742460596297,100.0,37.77777777777778,100.0,1.0625440839263494,45.38108066707853,0.0,0.0,796.4703924016717,7,0,0.0,0.0,0,"[0.0, 0.5208333333333334, 0.03125, 0.4479166666666667]"
rule_based_v2,hot_day_v2,903,False,-744.4189747783524,543.7003785350064,376.1776197763992,106.9786435494734,43.73908770083078,100.0,97.77777777777777,100.0,7.06073731921152,52.4261367808531,0.0,0.0,796.8518096502231,5,0,0.0,0.0,0,"[0.0, 0.5208333333333334, 0.020833333333333332, 0.4583333333333333]"
rule_based_v2,hot_day_v2,904,False,-486.28625374589495,534.7888071530372,367.1379583770074,104.7088983882592,43.58139502575198,100.0,57.77777777777778,86.66666666666667,2.3675667163102183,35.651494841612276,0.0,0.0,793.9772818832923,7,0,0.0,0.0,0,"[0.0, 0.5208333333333334, 0.03125, 0.4479166666666667]"
rule_based_v2,hot_day_v2,905,False,-514.3847862594239,538.8519249381324,368.3433363110562,105.45453603198752,43.61214904618031,100.0,42.22222222222222,100.0,1.1573884961268561,46.310107817724926,0.0,0.0,796.8492846744035,7,0,0.0,0.0,0,"[0.0, 0.5208333333333334, 0.03125, 0.4479166666666667]"
rule_based_v2,high_occupancy_v2,901,False,-228.53609216304193,457.52018900775425,264.7160420411351,86.55872543504105,43.706237410427754,40.0,6.666666666666667,35.55555555555556,0.02276665332038963,10.016099685053074,0.0,0.0,972.756305875959,19,0,0.0,0.0,0,"[0.0, 0.53125, 0.19791666666666666, 0.2708333333333333]"
rule_based_v2,high_occupancy_v2,902,False,-226.09485655474447,443.4708861097332,251.61708602089294,84.28024433501311,43.49455006223597,53.333333333333336,8.88888888888889,44.44444444444444,0.08628788646150909,11.095770045350047,0.0,0.0,972.4142412710933,17,0,0.0,0.0,0,"[0.0, 0.53125, 0.22916666666666666, 0.23958333333333334]"
rule_based_v2,high_occupancy_v2,903,False,-227.84158881300664,464.8474527550529,274.566616001487,88.38557048788425,43.192450747112076,37.77777777777778,0.0,37.77777777777778,0.0,9.560046577921913,0.0,0.0,972.995799135039,17,0,0.0,0.0,0,"[0.0, 0.53125, 0.17708333333333334, 0.2916666666666667]"
rule_based_v2,high_occupancy_v2,904,False,-214.64932269749278,445.7523677711734,254.8546159533223,84.30127666780467,42.24693596335042,35.55555555555556,0.0,35.55555555555556,0.0,7.372182602937276,0.0,0.0,972.2089735906686,19,0,0.0,0.0,0,"[0.0, 0.53125, 0.21875, 0.25]"
rule_based_v2,high_occupancy_v2,905,False,-229.45492205013807,443.9015805610174,249.75455216834757,85.33629128759368,42.2075038425523,40.0,0.0,40.0,0.0,11.088027125451724,0.0,0.0,970.2490784174555,21,0,0.0,0.0,0,"[0.0, 0.53125, 0.22916666666666666, 0.23958333333333334]"
rule_based_v2,high_humidity_v2,901,False,-519.4869957065528,490.82685809898004,317.00484881100374,95.86355262947176,41.90724845643694,93.33333333333333,2.2222222222222223,93.33333333333333,0.00030854917129019555,95.8744066197153,0.0,0.0,813.2180037138944,10,0,0.0,0.0,0,"[0.1875, 0.3333333333333333, 0.07291666666666667, 0.40625]"
rule_based_v2,high_humidity_v2,902,False,-487.709312064818,487.57327198590235,314.35910957570485,95.29287857280298,41.77815162593579,93.33333333333333,4.444444444444445,93.33333333333333,0.10673366792206895,88.95176215019089,0.0,0.0,813.7080672854479,12,0,0.0,0.0,0,"[0.1875, 0.34375, 0.0625, 0.40625]"
rule_based_v2,high_humidity_v2,903,False,-575.8136987505671,501.3093054769676,330.3388286612625,98.20954289834714,41.631061156059204,95.55555555555556,0.0,95.55555555555556,0.0,98.18615477478279,0.0,0.0,796.851809950108,11,0,0.0,0.0,0,"[0.11458333333333333, 0.40625, 0.052083333333333336, 0.4270833333333333]"
rule_based_v2,high_humidity_v2,904,False,-445.78692489888925,480.3637138933002,308.41176256726146,93.65740808039419,41.530296763520994,93.33333333333333,2.2222222222222223,93.33333333333333,0.04235393521140196,79.78028847471933,0.0,0.0,810.5030145679616,12,0,0.0,0.0,0,"[0.1875, 0.34375, 0.07291666666666667, 0.3958333333333333]"
rule_based_v2,high_humidity_v2,905,False,-509.1014541819091,495.60683340865137,320.5156926946242,97.22728899533558,41.574916710715364,95.55555555555556,8.88888888888889,95.55555555555556,0.3440049880325411,92.51470423734138,0.0,0.0,810.1759076902633,10,0,0.0,0.0,0,"[0.1875, 0.3333333333333333, 0.0625, 0.4166666666666667]"
rule_based_v2,expensive_electricity_v2,901,False,-334.7118605937364,403.56473960786934,232.9305926412504,135.78121409971592,40.269138334784174,33.333333333333336,0.0,33.333333333333336,0.0,10.107204686958745,0.0,0.0,822.5729931285559,19,0,0.0,0.0,0,"[0.0, 0.5520833333333334, 0.23958333333333334, 0.20833333333333334]"
rule_based_v2,expensive_electricity_v2,902,False,-319.4434981933671,389.5299809952292,219.503680906389,128.36792663302202,39.67409363433357,35.55555555555556,0.0,35.55555555555556,0.0,9.870780047118707,0.0,0.0,934.0001036319973,25,0,0.0,0.0,0,"[0.03125, 0.53125, 0.25, 0.1875]"
